datetime,symbol,open,high,low,close,volume
2021-01-03 17:00:00,CME_MINI:NQ1!,12889.0,12905.0,12825.25,12859.0,27116.0
2021-01-03 21:00:00,CME_MINI:NQ1!,12859.5,12895.25,12855.75,12890.75,12231.0
2021-01-04 01:00:00,CME_MINI:NQ1!,12890.75,12959.75,12890.75,12939.75,29900.0
2021-01-04 05:00:00,CME_MINI:NQ1!,12939.75,12953.75,12858.25,12880.25,91822.0
2021-01-04 09:00:00,CME_MINI:NQ1!,12880.0,12891.0,12522.5,12673.25,354651.0
2021-01-04 13:00:00,CME_MINI:NQ1!,12673.0,12708.5,12606.25,12688.25,128345.0
2021-01-04 17:00:00,CME_MINI:NQ1!,12682.75,12724.75,12660.75,12719.25,15774.0
2021-01-04 21:00:00,CME_MINI:NQ1!,12719.5,12727.5,12662.0,12708.75,19197.0
2021-01-05 01:00:00,CME_MINI:NQ1!,12708.25,12717.5,12641.0,12705.0,31126.0
2021-01-05 05:00:00,CME_MINI:NQ1!,12704.75,12768.75,12612.0,12749.75,113863.0
2021-01-05 09:00:00,CME_MINI:NQ1!,12750.75,12784.0,12688.0,12751.75,200206.0
2021-01-05 13:00:00,CME_MINI:NQ1!,12752.0,12809.0,12751.25,12803.5,98720.0
2021-01-05 17:00:00,CME_MINI:NQ1!,12800.25,12844.25,12626.75,12645.0,64301.0
2021-01-05 21:00:00,CME_MINI:NQ1!,12644.75,12666.25,12577.0,12633.0,41914.0
2021-01-06 01:00:00,CME_MINI:NQ1!,12630.0,12663.0,12491.25,12540.0,66542.0
2021-01-06 05:00:00,CME_MINI:NQ1!,12540.5,12668.0,12502.0,12634.5,145277.0
2021-01-06 09:00:00,CME_MINI:NQ1!,12634.75,12796.0,12613.75,12769.5,222122.0
2021-01-06 13:00:00,CME_MINI:NQ1!,12769.75,12783.5,12590.0,12658.0,203668.0
2021-01-06 17:00:00,CME_MINI:NQ1!,12658.5,12742.0,12646.5,12723.75,23353.0
2021-01-06 21:00:00,CME_MINI:NQ1!,12724.5,12742.75,12692.5,12741.0,14009.0
2021-01-07 01:00:00,CME_MINI:NQ1!,12741.25,12762.0,12660.25,12672.5,37867.0
2021-01-07 05:00:00,CME_MINI:NQ1!,12672.75,12839.75,12662.5,12838.0,99743.0
2021-01-07 09:00:00,CME_MINI:NQ1!,12838.25,12920.75,12832.5,12912.75,169741.0
2021-01-07 13:00:00,CME_MINI:NQ1!,12913.0,12959.0,12903.0,12925.75,86113.0
2021-01-07 17:00:00,CME_MINI:NQ1!,12927.0,12978.25,12919.0,12958.75,17147.0
2021-01-07 21:00:00,CME_MINI:NQ1!,12958.75,12975.0,12946.25,12971.5,10803.0
2021-01-08 01:00:00,CME_MINI:NQ1!,12971.0,12993.0,12948.0,12976.25,26674.0
2021-01-08 05:00:00,CME_MINI:NQ1!,12976.0,13052.0,12968.75,13018.5,96547.0
2021-01-08 09:00:00,CME_MINI:NQ1!,13018.75,13065.75,12927.25,12987.75,235544.0
2021-01-08 13:00:00,CME_MINI:NQ1!,12987.75,13125.0,12985.25,13123.25,116014.0
2021-01-10 17:00:00,CME_MINI:NQ1!,13093.25,13105.25,13021.75,13051.0,22897.0
2021-01-10 21:00:00,CME_MINI:NQ1!,13051.0,13055.25,13022.75,13031.5,11765.0
2021-01-11 01:00:00,CME_MINI:NQ1!,13032.25,13074.75,13022.75,13053.5,23992.0
2021-01-11 05:00:00,CME_MINI:NQ1!,13052.5,13057.25,12892.25,12958.75,122234.0
2021-01-11 09:00:00,CME_MINI:NQ1!,12959.5,13014.0,12931.25,12959.5,156952.0
2021-01-11 13:00:00,CME_MINI:NQ1!,12960.0,12960.25,12871.75,12905.75,110167.0
2021-01-11 17:00:00,CME_MINI:NQ1!,12910.75,12945.0,12897.5,12928.5,14925.0
2021-01-11 21:00:00,CME_MINI:NQ1!,12929.25,12936.75,12886.25,12920.5,13844.0
2021-01-12 01:00:00,CME_MINI:NQ1!,12922.0,12959.0,12910.0,12945.75,21200.0
2021-01-12 05:00:00,CME_MINI:NQ1!,12945.5,12951.0,12843.0,12890.5,102422.0
2021-01-12 09:00:00,CME_MINI:NQ1!,12890.5,12927.5,12767.25,12883.75,221156.0
2021-01-12 13:00:00,CME_MINI:NQ1!,12884.0,12912.0,12854.0,12881.25,83566.0
2021-01-12 17:00:00,CME_MINI:NQ1!,12882.5,12924.5,12872.75,12916.25,11363.0
2021-01-12 21:00:00,CME_MINI:NQ1!,12917.0,12935.0,12911.25,12924.25,10121.0
2021-01-13 01:00:00,CME_MINI:NQ1!,12924.25,12931.5,12872.75,12892.5,20836.0
2021-01-13 05:00:00,CME_MINI:NQ1!,12892.5,12945.5,12820.75,12914.25,106448.0
2021-01-13 09:00:00,CME_MINI:NQ1!,12913.5,12993.25,12871.0,12978.0,182462.0
2021-01-13 13:00:00,CME_MINI:NQ1!,12978.0,13003.0,12957.75,12973.0,79952.0
2021-01-13 17:00:00,CME_MINI:NQ1!,12975.5,13015.0,12967.25,12984.75,14834.0
2021-01-13 21:00:00,CME_MINI:NQ1!,12984.25,12990.25,12933.5,12956.25,16382.0
2021-01-14 01:00:00,CME_MINI:NQ1!,12957.0,12982.0,12922.5,12942.75,19160.0
2021-01-14 05:00:00,CME_MINI:NQ1!,12943.0,13015.0,12925.0,12993.0,85551.0
2021-01-14 09:00:00,CME_MINI:NQ1!,12993.25,13028.75,12933.5,12945.0,175972.0
2021-01-14 13:00:00,CME_MINI:NQ1!,12945.0,12964.5,12881.0,12899.75,100854.0
2021-01-14 17:00:00,CME_MINI:NQ1!,12909.0,12928.0,12869.0,12910.25,16919.0
2021-01-14 21:00:00,CME_MINI:NQ1!,12910.5,12915.75,12830.0,12863.75,20425.0
2021-01-15 01:00:00,CME_MINI:NQ1!,12863.0,12899.75,12857.0,12870.75,20036.0
2021-01-15 05:00:00,CME_MINI:NQ1!,12870.5,12931.25,12850.5,12901.0,102386.0
2021-01-15 09:00:00,CME_MINI:NQ1!,12901.0,12909.75,12743.5,12869.25,266305.0
2021-01-15 13:00:00,CME_MINI:NQ1!,12869.5,12881.5,12755.5,12759.0,106316.0
2021-01-17 17:00:00,CME_MINI:NQ1!,12774.25,12796.0,12727.0,12766.75,19423.0
2021-01-17 21:00:00,CME_MINI:NQ1!,12766.25,12791.75,12751.5,12773.25,6493.0
2021-01-18 01:00:00,CME_MINI:NQ1!,12772.25,12792.0,12762.75,12786.5,10030.0
2021-01-18 05:00:00,CME_MINI:NQ1!,12786.5,12816.75,12780.75,12810.75,17101.0
2021-01-18 09:00:00,CME_MINI:NQ1!,12810.75,12815.25,12793.5,12814.0,13691.0
2021-01-18 17:00:00,CME_MINI:NQ1!,12812.0,12894.5,12810.75,12890.75,17105.0
2021-01-18 21:00:00,CME_MINI:NQ1!,12891.0,12949.0,12889.25,12915.0,17005.0
2021-01-19 01:00:00,CME_MINI:NQ1!,12915.0,12940.0,12907.5,12926.25,18385.0
2021-01-19 05:00:00,CME_MINI:NQ1!,12926.5,12935.0,12860.5,12884.25,90631.0
2021-01-19 09:00:00,CME_MINI:NQ1!,12884.5,12991.5,12849.25,12988.75,183545.0
2021-01-19 13:00:00,CME_MINI:NQ1!,12988.75,13032.75,12965.0,13032.75,84450.0
2021-01-19 17:00:00,CME_MINI:NQ1!,13030.0,13054.5,13017.0,13046.5,14021.0
2021-01-19 21:00:00,CME_MINI:NQ1!,13047.0,13073.5,13021.5,13063.5,11524.0
2021-01-20 01:00:00,CME_MINI:NQ1!,13063.25,13099.5,13046.0,13095.25,21349.0
2021-01-20 05:00:00,CME_MINI:NQ1!,13095.5,13195.0,13080.25,13164.25,99004.0
2021-01-20 09:00:00,CME_MINI:NQ1!,13164.25,13294.5,13163.5,13280.5,182653.0
2021-01-20 13:00:00,CME_MINI:NQ1!,13280.5,13327.0,13266.5,13290.5,102371.0
