datetime,symbol,open,high,low,close,volume
2024-08-11 17:00:00,CME_MINI:NQ1!,18590.0,18645.0,18580.75,18632.25,725.0
2024-08-11 17:01:00,CME_MINI:NQ1!,18633.0,18644.5,18625.5,18640.0,417.0
2024-08-11 17:02:00,CME_MINI:NQ1!,18637.25,18643.75,18628.25,18628.25,230.0
2024-08-11 17:03:00,CME_MINI:NQ1!,18630.25,18633.5,18620.0,18629.5,146.0
2024-08-11 17:04:00,CME_MINI:NQ1!,18630.5,18652.5,18630.5,18649.25,303.0
2024-08-11 17:05:00,CME_MINI:NQ1!,18649.5,18659.0,18649.25,18654.0,157.0
2024-08-11 17:06:00,CME_MINI:NQ1!,18654.75,18658.5,18645.0,18648.0,152.0
2024-08-11 17:07:00,CME_MINI:NQ1!,18646.75,18646.75,18632.0,18632.0,169.0
2024-08-11 17:08:00,CME_MINI:NQ1!,18634.75,18638.0,18626.75,18634.0,153.0
2024-08-11 17:09:00,CME_MINI:NQ1!,18634.0,18646.5,18633.75,18642.5,147.0
2024-08-11 17:10:00,CME_MINI:NQ1!,18642.25,18642.75,18629.0,18629.0,94.0
2024-08-11 17:11:00,CME_MINI:NQ1!,18629.25,18634.0,18627.0,18627.0,127.0
2024-08-11 17:12:00,CME_MINI:NQ1!,18628.0,18633.75,18627.0,18630.25,43.0
2024-08-11 17:13:00,CME_MINI:NQ1!,18628.25,18628.25,18603.5,18606.25,324.0
2024-08-11 17:14:00,CME_MINI:NQ1!,18606.0,18606.0,18551.5,18553.0,444.0
2024-08-11 17:15:00,CME_MINI:NQ1!,18555.5,18569.5,18515.0,18567.5,577.0
2024-08-11 17:16:00,CME_MINI:NQ1!,18567.5,18569.25,18536.5,18547.5,240.0
2024-08-11 17:17:00,CME_MINI:NQ1!,18549.5,18554.25,18524.25,18525.75,211.0
2024-08-11 17:18:00,CME_MINI:NQ1!,18524.25,18561.0,18524.25,18552.5,215.0
2024-08-11 17:19:00,CME_MINI:NQ1!,18551.0,18565.25,18545.75,18562.75,141.0
2024-08-11 17:20:00,CME_MINI:NQ1!,18564.75,18565.75,18549.5,18549.5,98.0
2024-08-11 17:21:00,CME_MINI:NQ1!,18550.5,18557.0,18533.75,18538.75,151.0
2024-08-11 17:22:00,CME_MINI:NQ1!,18539.0,18550.5,18539.0,18547.25,91.0
2024-08-11 17:23:00,CME_MINI:NQ1!,18550.0,18551.25,18541.75,18541.75,51.0
2024-08-11 17:24:00,CME_MINI:NQ1!,18542.25,18549.0,18540.5,18549.0,30.0
2024-08-11 17:25:00,CME_MINI:NQ1!,18549.0,18553.75,18546.5,18547.5,66.0
2024-08-11 17:26:00,CME_MINI:NQ1!,18547.0,18550.0,18534.25,18550.0,83.0
2024-08-11 17:27:00,CME_MINI:NQ1!,18550.5,18565.5,18545.25,18545.5,166.0
2024-08-11 17:28:00,CME_MINI:NQ1!,18545.25,18562.75,18540.0,18555.75,146.0
2024-08-11 17:29:00,CME_MINI:NQ1!,18555.5,18559.25,18552.5,18558.25,24.0
2024-08-11 17:30:00,CME_MINI:NQ1!,18558.0,18558.0,18549.0,18552.5,44.0
2024-08-11 17:31:00,CME_MINI:NQ1!,18551.0,18553.75,18549.75,18549.75,27.0
2024-08-11 17:32:00,CME_MINI:NQ1!,18549.5,18550.25,18548.5,18549.75,19.0
2024-08-11 17:33:00,CME_MINI:NQ1!,18551.25,18556.25,18551.25,18554.0,27.0
2024-08-11 17:34:00,CME_MINI:NQ1!,18556.0,18569.5,18554.5,18569.5,104.0
2024-08-11 17:35:00,CME_MINI:NQ1!,18568.0,18574.75,18567.0,18570.25,61.0
2024-08-11 17:36:00,CME_MINI:NQ1!,18568.75,18578.5,18568.75,18578.5,83.0
2024-08-11 17:37:00,CME_MINI:NQ1!,18577.0,18585.5,18576.25,18584.0,145.0
2024-08-11 17:38:00,CME_MINI:NQ1!,18584.75,18584.75,18579.0,18579.0,76.0
2024-08-11 17:39:00,CME_MINI:NQ1!,18578.75,18579.5,18568.25,18568.25,150.0
2024-08-11 17:40:00,CME_MINI:NQ1!,18569.5,18574.0,18563.0,18572.5,87.0
2024-08-11 17:41:00,CME_MINI:NQ1!,18575.0,18577.5,18572.0,18576.0,33.0
2024-08-11 17:42:00,CME_MINI:NQ1!,18577.25,18589.25,18577.25,18584.25,111.0
2024-08-11 17:43:00,CME_MINI:NQ1!,18584.0,18586.75,18578.0,18580.0,44.0
